# ENA mirror of SRA BioProject PRJNA1131785 (npj Biofilms Microbiomes 2025, s41522-025-00851-2).
# 2bRAD-M / WMS / next-gen-16S / PacBio for MSA-1002 mock (+90/99% human) and HoC saliva/oral-cancer/ECC.
# Download via fastq_ftp (ENA, reachable when NCBI/SRA blocked). Total ~1.78 TB; grab subsets.
run_accession	sample_accession	library_strategy	library_source	instrument_platform	scientific_name	sample_title	read_count	fastq_bytes	fastq_ftp
SRR29721900	SAMN42334578	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	55358	6885830;6008431	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/000/SRR29721900/SRR29721900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/000/SRR29721900/SRR29721900_2.fastq.gz
SRR29721901	SAMN42334579	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	32777	3779793;3375357	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/001/SRR29721901/SRR29721901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/001/SRR29721901/SRR29721901_2.fastq.gz
SRR29721902	SAMN42334580	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	34890	4065613;3590360	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/002/SRR29721902/SRR29721902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/002/SRR29721902/SRR29721902_2.fastq.gz
SRR29721904	SAMN42334590	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	35729	4129553;3594813	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/004/SRR29721904/SRR29721904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/004/SRR29721904/SRR29721904_2.fastq.gz
SRR29721905	SAMN42334591	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	43753	4947041;4421968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/005/SRR29721905/SRR29721905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/005/SRR29721905/SRR29721905_2.fastq.gz
SRR29726985	SAMN42321962	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	237657603	25712717260;25618119969	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/085/SRR29726985/SRR29726985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/085/SRR29726985/SRR29726985_2.fastq.gz
SRR29726986	SAMN42321988	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	239541083	26450232891;25946580516	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/086/SRR29726986/SRR29726986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/086/SRR29726986/SRR29726986_2.fastq.gz
SRR29726988	SAMN42321986	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	166020016	19938438673;17666029353	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/088/SRR29726988/SRR29726988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/088/SRR29726988/SRR29726988_2.fastq.gz
SRR29726989	SAMN42321985	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	212695764	23810022580;21932449818	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/089/SRR29726989/SRR29726989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/089/SRR29726989/SRR29726989_2.fastq.gz
SRR29726992	SAMN42321982	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	222988906	23931347538;23833303363	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/092/SRR29726992/SRR29726992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/092/SRR29726992/SRR29726992_2.fastq.gz
SRR29726996	SAMN42321961	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	203705448	24123502484;21212929570	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/096/SRR29726996/SRR29726996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/096/SRR29726996/SRR29726996_2.fastq.gz
SRR29726999	SAMN42321976	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	180051025	18863679095;18849978010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/099/SRR29726999/SRR29726999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/099/SRR29726999/SRR29726999_2.fastq.gz
SRR29736158	SAMN42336152	RNA-Seq	METAGENOMIC	ILLUMINA	synthetic metagenome	Metagenome or environmental sample from synthetic metagenome	294102	9180039;9585177	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/058/SRR29736158/SRR29736158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/058/SRR29736158/SRR29736158_2.fastq.gz
SRR29752034	SAMN42321964	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	49839	4616125	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/034/SRR29752034/SRR29752034.fastq.gz
SRR29752036	SAMN42321990	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	44118	4042012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/036/SRR29752036/SRR29752036.fastq.gz
SRR29752037	SAMN42321989	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	73504	7148567	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/037/SRR29752037/SRR29752037.fastq.gz
SRR29752038	SAMN42321962	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	69176	7257496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/038/SRR29752038/SRR29752038.fastq.gz
SRR29752039	SAMN42321988	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	46320	4756419	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/039/SRR29752039/SRR29752039.fastq.gz
SRR29752044	SAMN42321983	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	47134	4484972	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/044/SRR29752044/SRR29752044.fastq.gz
SRR29752047	SAMN42321980	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	65680	6823477	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/047/SRR29752047/SRR29752047.fastq.gz
SRR29752049	SAMN42321961	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	79108	6494480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/049/SRR29752049/SRR29752049.fastq.gz
SRR29752050	SAMN42321978	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	73664	7418686	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/050/SRR29752050/SRR29752050.fastq.gz
SRR29752051	SAMN42321977	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	68590	6497948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/051/SRR29752051/SRR29752051.fastq.gz
SRR29752052	SAMN42321976	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	74413	5964588	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/052/SRR29752052/SRR29752052.fastq.gz
SRR29752054	SAMN42321974	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	73713	7287161	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/054/SRR29752054/SRR29752054.fastq.gz
SRR29752058	SAMN42321970	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	74364	7637972	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/058/SRR29752058/SRR29752058.fastq.gz
SRR29752059	SAMN42321969	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	64257	6489370	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/059/SRR29752059/SRR29752059.fastq.gz
SRR29752060	SAMN42321960	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	68435	6866594	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/060/SRR29752060/SRR29752060.fastq.gz
SRR29752064	SAMN42321966	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	73155	7330993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/064/SRR29752064/SRR29752064.fastq.gz
SRR29752086	SAMN42334561	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	6089367	139718532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/086/SRR29752086/SRR29752086.fastq.gz
SRR29752087	SAMN42334560	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	6289713	143799659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/087/SRR29752087/SRR29752087.fastq.gz
SRR29752091	SAMN42334590	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	6718579	154992681	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/091/SRR29752091/SRR29752091.fastq.gz
SRR29752093	SAMN42334588	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	5945037	136688264	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/093/SRR29752093/SRR29752093.fastq.gz
SRR29752097	SAMN42334584	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	5615142	129138298	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/097/SRR29752097/SRR29752097.fastq.gz
SRR29752098	SAMN42334557	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7201220	163201237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/098/SRR29752098/SRR29752098.fastq.gz
SRR29752100	SAMN42334582	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	5782338	133178553	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/000/SRR29752100/SRR29752100.fastq.gz
SRR34341227	SAMN49751515	AMPLICON	METAGENOMIC	ILLUMINA	human oral metagenome	Metagenome or environmental sample from human oral metagenome	79997	4649331;4766895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/027/SRR34341227/SRR34341227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/027/SRR34341227/SRR34341227_2.fastq.gz
SRR34341228	SAMN49751514	AMPLICON	METAGENOMIC	ILLUMINA	human oral metagenome	Metagenome or environmental sample from human oral metagenome	80054	6063520;6030179	ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/028/SRR34341228/SRR34341228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/028/SRR34341228/SRR34341228_2.fastq.gz
SRR34341230	SAMN49751504	WGS	METAGENOMIC	BGISEQ	human oral metagenome	Metagenome or environmental sample from human oral metagenome	6303094	134491107	ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/030/SRR34341230/SRR34341230.fastq.gz
SRR29712920	SAMN42321968	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	14206642	292771147	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/020/SRR29712920/SRR29712920.fastq.gz
SRR29712921	SAMN42321967	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	25076486	523081742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/021/SRR29712921/SRR29712921.fastq.gz
SRR29712926	SAMN42321990	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	31445811	684699325	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/026/SRR29712926/SRR29712926.fastq.gz
SRR29712931	SAMN42321986	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	24626216	505445600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/031/SRR29712931/SRR29712931.fastq.gz
SRR29712932	SAMN42321985	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	9614344	192580801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/032/SRR29712932/SRR29712932.fastq.gz
SRR29712934	SAMN42321983	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	19114192	394860366	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/034/SRR29712934/SRR29712934.fastq.gz
