# ENA mirror of SRA BioProject PRJNA1131785 (npj Biofilms Microbiomes 2025, s41522-025-00851-2).
# 2bRAD-M / WMS / next-gen-16S / PacBio for MSA-1002 mock (+90/99% human) and HoC saliva/oral-cancer/ECC.
# Download via fastq_ftp (ENA, reachable when NCBI/SRA blocked). Total ~1.78 TB; grab subsets.
run_accession	sample_accession	library_strategy	library_source	instrument_platform	scientific_name	sample_title	read_count	fastq_bytes	fastq_ftp
SRR29712943	SAMN42321975	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	40434987	866680941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/043/SRR29712943/SRR29712943.fastq.gz
SRR29721748	SAMN42334583	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	4805	3001001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/048/SRR29721748/SRR29721748_subreads.fastq.gz
SRR29721750	SAMN42334585	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7440	4183843	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/050/SRR29721750/SRR29721750_subreads.fastq.gz
SRR29721753	SAMN42334554	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	4742	2845751	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/053/SRR29721753/SRR29721753_subreads.fastq.gz
SRR29721754	SAMN42334555	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	6571	3888996	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/054/SRR29721754/SRR29721754_subreads.fastq.gz
SRR29721755	SAMN42334556	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	4395	2644867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/055/SRR29721755/SRR29721755_subreads.fastq.gz
SRR29721756	SAMN42334557	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7491	4380239	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/056/SRR29721756/SRR29721756_subreads.fastq.gz
SRR29721758	SAMN42334559	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7466	4959741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/058/SRR29721758/SRR29721758_subreads.fastq.gz
SRR29721761	SAMN42334588	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7467	4769442	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/061/SRR29721761/SRR29721761_subreads.fastq.gz
SRR29721763	SAMN42334563	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7480	4520285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/063/SRR29721763/SRR29721763_subreads.fastq.gz
SRR29721766	SAMN42334566	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7018	4095772	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/066/SRR29721766/SRR29721766_subreads.fastq.gz
SRR29721770	SAMN42334570	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	4637	2883960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/070/SRR29721770/SRR29721770_subreads.fastq.gz
SRR29721784	SAMN42334591	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	4219	2465083	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/084/SRR29721784/SRR29721784_subreads.fastq.gz
SRR29721869	SAMN42334583	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	50455	5723590;5200621	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/069/SRR29721869/SRR29721869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/069/SRR29721869/SRR29721869_2.fastq.gz
SRR29721870	SAMN42334584	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	41802	4845411;4345132	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/070/SRR29721870/SRR29721870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/070/SRR29721870/SRR29721870_2.fastq.gz
SRR29721878	SAMN42334558	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	56737	7169520;6084919	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29721878/SRR29721878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29721878/SRR29721878_2.fastq.gz
SRR29721880	SAMN42334560	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	91089	10916165;9634083	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/080/SRR29721880/SRR29721880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/080/SRR29721880/SRR29721880_2.fastq.gz
SRR29721881	SAMN42334561	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	47905	5466157;4902401	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/081/SRR29721881/SRR29721881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/081/SRR29721881/SRR29721881_2.fastq.gz
SRR29721883	SAMN42334562	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	50107	6059450;5360025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/083/SRR29721883/SRR29721883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/083/SRR29721883/SRR29721883_2.fastq.gz
SRR29721886	SAMN42334565	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	50559	5799500;5222371	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/086/SRR29721886/SRR29721886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/086/SRR29721886/SRR29721886_2.fastq.gz
