sample	mock	class	species	genome	abundance
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Corynebacterium_striatum	Corynebacterium_striatum__ATCC_Corynebacterium_striatum_ATCC_6940	6.1e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Streptococcus_agalactiae	Streptococcus_agalactiae__GCF_001266635.1	4.7e-05
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Micrococcus_luteus	Micrococcus_luteus__ATCC_Micrococcus_luteus_ATCC_4698	4.6e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Gardnerella_vaginalis	Gardnerella_vaginalis__GCF_002861945.1	3.1e-05
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Staphylococcus_aureus	Staphylococcus_aureus__ATCC_Staphylococcus_aureus_ATCC_BAA_1556	3.1e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Gardnerella_vaginalis	Gardnerella_vaginalis__GCF_023277625.1	2.8e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Metamycoplasma_hominis	Metamycoplasma_hominis__GCF_016809635.1	2.7e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Gardnerella_vaginalis	Gardnerella_vaginalis__GCF_003397605.1	2.5e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Prevotella_bivia	Prevotella_bivia__GCF_977089825.1	2.5e-05
WMS_MSA1007_0_100ng_1	MSA1007	same_species_decoy	Prevotella_bivia	Prevotella_bivia__GCF_055453515.1	2.4e-05
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Staphylococcus_epidermidis	Staphylococcus_epidermidis__ATCC_Staphylococcus_epidermidis_ATCC_12228	0.000831
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Streptococcus_mutans	Streptococcus_mutans__ATCC_Streptococcus_mutans_ATCC_700610	0.000183
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Porphyromonas_gingivalis	Porphyromonas_gingivalis__ATCC_Porphyromonas_gingivalis_ATCC_33277	0.000159
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Escherichia_coli	Escherichia_coli__ATCC_Escherichia_coli_ATCC_700926	0.000151
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Cereibacter_sphaeroides	Cereibacter_sphaeroides__ATCC_Cereibacter_sphaeroides_ATCC_17029	0.000123
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Streptococcus_mitis	Streptococcus_mitis__ATCC_Streptococcus_mitis_ATCC_49456	8.4e-05
WMS_MSA1007_0_100ng_2	MSA1007	other_mock_atcc	Corynebacterium_striatum	Corynebacterium_striatum__ATCC_Corynebacterium_striatum_ATCC_6940	7.3e-05
