species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep2_d0.5	diff	5	2	0.5	5	3	3	0	2	1.0000	0.6000	0.7500	0.110	24.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep2_d10	diff	5	2	10	5	5	5	0	0	1.0000	1.0000	1.0000	1.470	201.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep2_d1	diff	5	2	1	5	5	5	0	0	1.0000	1.0000	1.0000	0.190	34.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep2_d3	diff	5	2	3	5	5	5	0	0	1.0000	1.0000	1.0000	0.480	72.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep2_d5	diff	5	2	5	5	5	5	0	0	1.0000	1.0000	1.0000	0.770	110.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep3_d0.5	diff	5	3	0.5	5	4	4	0	1	1.0000	0.8000	0.8889	0.100	27.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep3_d10	diff	5	3	10	5	5	5	0	0	1.0000	1.0000	1.0000	1.490	191.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep3_d1	diff	5	3	1	5	5	5	0	0	1.0000	1.0000	1.0000	0.180	33.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep3_d3	diff	5	3	3	5	5	5	0	0	1.0000	1.0000	1.0000	0.470	70.7
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep3_d5	diff	5	3	5	5	5	5	0	0	1.0000	1.0000	1.0000	0.750	109.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep4_d0.5	diff	5	4	0.5	5	2	2	0	3	1.0000	0.4000	0.5714	0.140	31.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep4_d10	diff	5	4	10	5	4	4	0	1	1.0000	0.8000	0.8889	2.260	290.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep4_d1	diff	5	4	1	5	3	3	0	2	1.0000	0.6000	0.7500	0.270	47.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep4_d3	diff	5	4	3	5	4	4	0	1	1.0000	0.8000	0.8889	0.780	106.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep4_d5	diff	5	4	5	5	4	4	0	1	1.0000	0.8000	0.8889	1.240	158.6
